subject,Mathematics,Cell Biology,Medical & Pharmaceutical Terminology,Human Rights and Fighting Corruption,Pharmacy Orientation,English Language,Pharmaceutical Organic Chemistry 2,Pharmacognosy 1,Physical Pharmacy,Histology,Anatomy,Behavioral Science,Information Technology,Pharmaceutical Organic Chemistry 3,General Microbiology and Immunology,Dosage Forms 1,Communication & Presentation Skills,Dosage Forms 2,Pharmacology (1),Phytochemistry (2),Biochemistry (2),Medicinal Chemistry (1),Parasitology,Principles of Negotiations,Cosmetic Preparations,Biopharmaceutics & Pharmacokinetics,Medicinal Chemistry (2),Public Health & Preventive Medicine,Toxicology & forensic Chemistry,Pharmacotherapy (1),Drug Marketing & Pharmacoeconomics,Clinical Research & Pharmacovigilance,Clinical Nutrition,Clinical Biochemistry,Industrial Pharmacy,Clinical Pharmacokinetics,Entrepreneurship,"Management of Neurological, Psychiatric and Respiratory Diseases",Novel Drug Delivery Systems,Phytotherapy,Drug Design & Development,Drug Information,,
Biopharmaceutics & Pharmacokinetics,,,,,,,2,,,,,,1,1,,,,,6,2,,1,1,,1,_,4,4,,1,6,,2,3,2,,1,3,,2,,2,,
Medicinal Chemistry (2),1,,,1,1,1,1,,,,,1,,2,,1,,,1,2,,,2,1,1,4,_,3,1,3,1,4,,1,2,1,3,2,3,1,1,3,,
Public Health & Preventive Medicine,1,,,,1,,2,,,1,,1,,1,,,,,2,3,1,2,2,,1,4,3,_,1,1,5,2,2,1,,,1,1,,,,,,
Toxicology & forensic Chemistry,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,_,2,,,1,,1,,1,2,,1,,2,,
Pharmacotherapy (1),,,,,,,,,,,,1,,,,,,,,,,,,,1,1,3,1,2,_,1,2,,,,2,,2,,1,,,,
Drug Marketing & Pharmacoeconomics,,,,,1,,,,1,1,,,,1,,,,,3,3,1,2,3,,,6,1,5,,1,_,2,1,1,,,,1,,1,,,,
Clinical Research & Pharmacovigilance,,,,,,,,,,,,1,,,,,,,,,,1,1,,1,,4,2,,2,2,_,2,,3,1,3,2,,1,,,,
Clinical Nutrition,,,,,,,,,,,,,1,,,,,,2,1,3,2,4,,2,2,,2,1,,1,2,_,,3,,1,2,,1,,1,,
Clinical Biochemistry,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,,,1,,,_,,,1,,,,,,,
Industrial Pharmacy,,,,,,,,,,,,,1,,,,,,1,,,1,2,,,2,2,,1,,,3,3,,_,,3,2,2,5,,,,
Clinical Pharmacokinetics,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,2,,1,,,,_,,,,,1,,,
Entrepreneurship,,,,,,,,,,,,,,,,,,,,,,1,,,2,1,3,1,1,,,3,1,1,3,,_,4,1,1,,2,,
"Management of Neurological, Psychiatric and Respiratory Diseases",,,,,,,1,2,,2,,1,1,3,,,,,,,,3,,,2,3,2,1,2,2,1,2,2,,2,,4,_,1,3,,3,,
Novel Drug Delivery Systems,1,,,,1,1,,,,,,,,1,,1,,,,,,1,2,1,,,3,,,,,,,,2,,1,1,_,2,,1,,
Phytotherapy,,,,,,,,,,,,,,,,,,,,1,,,,,,2,1,,1,1,1,1,1,,5,,1,3,2,_,1,,,
Drug Design & Development,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,1,,,,1,_,,,
Drug Information,1,,,,,,,,,,,,,1,,,,,,1,,2,,,,2,3,,2,,,,1,,,,2,3,1,,,_,,
Management of Cardiovascular Diseases,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,1,,,,,,1,,,,,1,,,,_,
Management of Neuropsychiatric Diseases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,1,3,1,1,
Basic & Clinical Toxicology,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,1,,1,1,,,1,1,2,2,,
Novel Drug Delivery Systems,,,,,,,,,,,,,,,1,1,1,,1,,2,,1,,1,,,3,1,1,,2,1,2,1,1,,,3,,,2,2,
